[2026-04-17T10:07:23Z] CMD: lsmod
Module                  Size  Used by
nvidia_drm             98304  1
nvidia_modeset       1290240  6 nvidia_drm
lzo_rle                16384  16
lzo_compress           20480  1 lzo_rle
zram                   32768  8
zsmalloc               32768  1 zram
nvme_fabrics           24576  0
ramoops                28672  0
reed_solomon           20480  1 ramoops
bridge                241664  0
stp                    20480  1 bridge
llc                    20480  2 bridge,stp
usb_f_ncm              28672  2
usb_f_mass_storage     45056  2
algif_hash             24576  1
algif_skcipher         20480  1
usb_f_acm              16384  2
u_serial               20480  3 usb_f_acm
af_alg                 28672  6 algif_hash,algif_skcipher
usb_f_rndis            28672  2
bnep                   28672  2
u_ether                28672  2 usb_f_rndis,usb_f_ncm
libcomposite           61440  16 usb_f_rndis,usb_f_mass_storage,usb_f_acm,usb_f_ncm
snd_soc_tegra210_mixer    45056  1
snd_soc_tegra186_asrc    36864  1
snd_soc_tegra210_mvc    20480  2
snd_soc_tegra210_admaif   118784  1
snd_soc_tegra_pcm      16384  1 snd_soc_tegra210_admaif
snd_soc_tegra186_arad    24576  2 snd_soc_tegra186_asrc
snd_soc_tegra210_afc    20480  6
snd_soc_tegra186_dspk    20480  2
snd_soc_tegra210_ope    32768  1
snd_soc_tegra210_dmic    20480  3
snd_soc_tegra210_adx    28672  4
snd_soc_tegra210_amx    32768  4
snd_soc_tegra210_sfc    57344  4
snd_soc_tegra210_i2s    24576  4
snd_soc_tegra210_ahub  1257472  3 snd_soc_tegra210_ope,snd_soc_tegra210_sfc
tegra210_adma          24576  0
spidev                 32768  0
r8168                 512000  0
nvvrs_pseq_rtc         16384  0
joydev                 32768  0
crct10dif_ce           20480  1
rtk_btusb              73728  0
snd_soc_tegra_machine_driver    16384  2
snd_soc_tegra_utils    28672  2 snd_soc_tegra210_admaif,snd_soc_tegra_machine_driver
btusb                  49152  0
snd_soc_simple_card_utils    28672  1 snd_soc_tegra_utils
btrtl                  24576  1 btusb
tegra234_oc_event      16384  0
btintel                40960  1 btusb
btbcm                  28672  1 btusb
fusb301                24576  0
nvpmodel_clk_cap       16384  0
mttcan                 65536  0
nvpps                  28672  1 mttcan
tegra_cactmon_mc_all    16384  0
can_dev                36864  1 mttcan
thermal_trip_event     16384  0
tegra234_aon           49152  1
tegra_aconnect         16384  0
snd_hda_codec_hdmi     61440  1
pwm_tegra_tachometer    16384  0
snd_hda_tegra          20480  1
snd_hda_codec         126976  2 snd_hda_codec_hdmi,snd_hda_tegra
rtl8822ce            3461120  0
